iter	Passed	Remaining
0	153	152999
1	161	80430
2	167	55597
3	177	44232
4	185	36864
5	195	32395
6	203	28846
7	211	26263
8	220	24238
9	229	22751
10	235	21170
11	279	23038
12	291	22147
13	325	22910
14	333	21889
15	343	21144
16	351	20333
17	361	19733
18	374	19324
19	381	18700
20	390	18210
21	408	18171
22	419	17802
23	432	17576
24	442	17244
25	449	16828
26	459	16554
27	466	16188
28	475	15920
29	482	15604
30	492	15387
31	499	15098
32	507	14884
33	515	14642
34	525	14485
35	532	14259
36	543	14133
37	550	13942
38	558	13757
39	565	13567
40	574	13429
41	580	13239
42	589	13113
43	596	12958
44	604	12829
45	611	12685
46	619	12565
47	626	12416
48	634	12316
49	642	12215
50	648	12068
51	656	11969
52	663	11858
53	673	11795
54	682	11718
55	688	11610
56	698	11558
57	710	11539
58	717	11439
59	725	11363
60	730	11251
61	751	11377
62	759	11293
63	767	11228
64	778	11200
65	786	11126
66	781	10885
67	789	10814
68	807	10895
69	817	10859
70	823	10775
71	832	10732
72	841	10682
73	851	10652
74	857	10577
75	866	10535
76	872	10462
77	880	10405
78	886	10339
79	898	10327
80	907	10294
81	919	10289
82	932	10300
83	945	10312
84	954	10279
85	967	10285
86	974	10228
87	987	10231
88	996	10204
89	1005	10162
90	1017	10167
91	1025	10120
92	1034	10087
93	1042	10052
94	1049	1096	19596	104597	196	1064	998	197	1073	9880
98	1080	9100	99100	1079101100	1098	97102101102	1096103102103	1105104103104	1114105104105	1123	94105106	1129	94106107	1137108107	1152	95109108	1162	9505
109	1168	9453
110111	1169	92111112	1177	92112113	1188	92113114	1194	91114115	1203	91115116	1209	91116117	1216	90117118	1223	90118119	1230120119120	1241	90120121	1250	90121122	1256	89122	1272	9070
123124	1272	89124125	1280	88125126	1287	88126	1305	8973
127	1311	8936
128	1318	8899
129	1327	8882
130	1333	8843
131	1341	8823
132	1350	8802
133	1359	8789
134	1368	8770
135	1378	8758
136	1386	8736
137	1395	8714
138	1399	8669
139	1407	8646
140	1413	8612
141	1419	8576
142	1428	8561
143144	1430	84144145	1437	84145146	1447	83146147	1456	83147148	1463	83148149	1470	83149	1482	8402
150151	1485	82151152	1489	82152153	1497	82153	1511	8304
154	1520	8291
155156	1524	81156	1538	8263
157	1546	8240
158	1557	8239
159160	1557	81160	1571	8188
161	1579	8171
162	1591	8171
163	1599	8153
164	1607	8136
165	1613	8105
166	1620	8081
167	1628	8064
168	1640	8064
169	1647	8042
170	1655	8024
171	1662	8001
172	1669	7982
173	1679	7971
174	1687	7955
175	1692	7925
176	1702	7915
177	1711	7903
178	1723	7903
179	1734	7900
180	1741	7879
181	1753	7880
182	1757	7847
183	1764	7826
184	1772	7807
185	1781	7795
186	1787	7770
187	1792	7742
188	1803	7737
189	1809	7715
190	1818	7702
191	1824	7678
192	1832	7661
193	1838	7637
194	1843	7611
195	1850	7589
196	1856	7567
197	1862	7545
198	1870	7530
199	1879	7518
200	1886	7500
201202	1889	74202203	1896	74203204	1907	73204205	1925	74205206	1934	74206207	1942	73207208	1954	73208209	1961	73209210	1967	73210211	1973	73211212	1982	73212213	1990	73213214	1999	72214215	2005	72215	2019	7328
216217	2017	72217218	2024	72218220	2029	71219220	2041	71220222	2047	71221223	2061	71222223	2074	71223224	2087	71224225	2093	71225226	2101	71226227	2114	71227228	2128	71228229	2139	71229230	2147	71230231	2155	71231232	2165	71232233	2176	71233235	2183	70234235	2194	71235236	2205	71236237	2217	7098
238	2224	7082
240	2228	70239241	2236	70240241	2246	70241243	2253	69242244	2260	69243245	2270	69244246	2276	69245247	2284	69246	2302	7018
247	2313	7016
248	2323	7007
249	2332	6997
250	2341	6985
251	2345	6962
252	2352	6946
253	2363	6940
254	2368	6921
255256	2369	68256257	2376	68257258	2391	68258259	2399	6829
260	2406	68260261	2415	68261262	2421	67262263	2431	67263264	2438	67264265	2445	67265266	2455	6740
267	2463	6729
268	2471	6715
269	2480	6706
270	2488	6693
271	2495	6679
272	2502	66272273	2509	6649
274	2516	6634
275	2524	6621
276	2533	6611
277	2540	6599
278	2545	65278279	2555	65279280	2564	65280281	2570	65281282	2576	65282	2591	6566
283	2600	6555
284	2610	6548
285	2618	6537
286	2627	6526
287	2635	6515
288	2643	6504
289	2652	6494
290	2661	6485
291	2670	6476
292	2677	6461
293	2687	6453
294	2694	6438
295	2703	6430
296	2712	6419
297	2723	6415
298	2730	6402
299	2745	6406
300	2753	6393
301	2761	6381
302	2774	6382
303	2785	6376
304	2794	6367
305	2803	6357
306	2810	6344
307	2819	6335
308	2827	6322
309	2836	6313
310	2843	6299
311	2850	6285
312	2860	6277
313	2872	6275
314	2881	6267
315	2892	6261
316	2901	6251
317	2909	6239
318	2922	6240
319	2931	6229
320321	2935	61321	2954	6220
322	2965	6214
323	2975	6208
324	2988	6206
325	2999	6201
326	3007	6189
327	3021	6191
328	3031	6183
329	3041	6174
330	3049	6163
331	3059	6156
332	3072	6154
333	3080	6143
334	3091	6136
335	3104	6135
336	3114	6126
337	3123	6116
338	3131	6106
339	3139	6093
340	3147	6081
341	3156	6072
342	3168	6069
343	3178	6062
344	3185	6048
345	3200	6048
346	3209	6040
347	3221	6035
348	3230	6025
349	3244	6026
350	3255	6018
351	3264	6010
352	3278	6009
353	3289	6002
354	3300	5996
355	3314	5995
356	3319	5979
357	3332	5975
358	3339	5963
359	3351	5958
360361	3356	59361362	3368	59362	3383	5937
363364	3387	58364365	3395	58365366	3411	58366367	3420	58367368	3430	58368369	3442	58369370	3458	58370371	3471	58371372	3482	58372373	3511	58373374	3525	58374375	3539	5873
376	3553	5872
377	3564	5864
378	3573	5854
379	3586	5852
380	3602	5852
381	3609	5839
382	3621	5834
383	3628	5820
384	3639	5813
385	3649	5805
386	3659	5797
387	3670	57387388	3677	57388389	3690	57389390	3700	57390391	3712	57391392	3726	5755
393	3734	5744
394	3742	57394395	3753	57395396	3765	5719
397	3776	5711
398	3787	5704
399	3797	5696
400	3806	5686
401	3817	56401402	3826	5668
403	3834	56403404	3842	56404405	3853	56405406	3862	56406407	3870	56407408	3878	56408409	3887	55409410	3900	55410411	3914	55411412	3922	55412413	3933	55413414	3942	55414415	3950	55415416	3957	55416417	3969	55417418	3977	55418	3993	5537
419	4001	5525
420421	4004	54421	4021	5507
422	4034	5502
423	4044	5494
424	4054	5485
425	4064	5476
426	4074	5467
427	4085	5459
428429	4093	54429430	4102	54430431	4112	54431432	4120	53432433	4132	53433434	4143	53434435	4151	53435436	4157	53436437	4168	53437438	4180	53438439	4192	5335
440	4203	53440441	4219	53441442	4229	53442443	4239	53443444	4250	53444	4265	5319
445	4275	5310
446	4286	5302
447	4296	5294
448	4305	5284
449	4320	5280
450	4334	5276
451	4346	5269
452	4355	5259
